STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980927,96,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980928,93,66
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980929,82,53
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980930,87,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981001,84,64
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981002,71,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981003,70,55
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981004,65,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981005,65,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981006,71,58
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981007,70,61
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981008,73,63
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981009,68,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981010,69,55
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981011,74,53
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981012,72,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981013,69,58
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981014,68,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981015,67,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981016,68,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981017,73,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981018,79,66
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981019,77,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981020,71,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981021,65,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981022,71,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981023,63,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981024,74,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981025,72,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981026,74,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981027,64,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981028,70,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981029,67,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981030,68,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981031,65,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981101,66,34
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981102,61,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981103,55,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981104,53,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981105,51,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981106,52,37
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981107,55,39
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981108,50,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981109,58,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981110,59,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981111,71,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981112,62,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981113,59,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981114,62,49
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981115,67,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981116,60,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981117,65,49
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981118,60,45
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981119,59,46
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981120,70,45
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981121,53,35
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981122,54,27
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981123,64,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981124,65,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981125,58,30
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981126,63,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981127,59,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981128,72,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981129,75,35
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981130,67,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981201,67,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981202,69,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981203,74,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981204,74,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981205,75,61
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981206,82,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981207,81,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981208,69,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981209,54,43
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981210,54,39
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981211,50,39
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981212,47,31
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981213,47,39
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981214,46,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981215,55,23
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981216,54,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981217,50,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981218,46,30
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981219,55,30
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981220,56,43
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981221,54,45
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981222,66,35
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981223,26,19
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981224,31,23
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981225,32,18
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981226,35,20
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981227,42,18
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981228,44,31
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981229,41,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981230,38,22
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19981231,27,20
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990101,33,16
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990102,27,18
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990103,27,18
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990104,42,20
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990105,29,12
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990106,33,9
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990107,38,21
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990108,34,26
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990109,46,22
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990110,35,17
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990111,33,16
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990112,58,26
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990113,60,37
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990114,50,28
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990115,37,24
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990116,53,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990117,59,28
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990118,60,34
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990119,55,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990120,53,33
