STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,TMIN
GHCND:USW00012839,3.7,25.8,-80.3,19940913,82,72
GHCND:USW00012839,3.7,25.8,-80.3,19940914,85,75
GHCND:USW00012839,3.7,25.8,-80.3,19940915,87,73
GHCND:USW00012839,3.7,25.8,-80.3,19940916,89,80
GHCND:USW00012839,3.7,25.8,-80.3,19940917,89,80
GHCND:USW00012839,3.7,25.8,-80.3,19940918,90,80
GHCND:USW00012839,3.7,25.8,-80.3,19940919,89,73
GHCND:USW00012839,3.7,25.8,-80.3,19940920,87,74
GHCND:USW00012839,3.7,25.8,-80.3,19940921,87,74
GHCND:USW00012839,3.7,25.8,-80.3,19940922,87,77
GHCND:USW00012839,3.7,25.8,-80.3,19940923,89,75
GHCND:USW00012839,3.7,25.8,-80.3,19940924,88,79
GHCND:USW00012839,3.7,25.8,-80.3,19940925,86,76
GHCND:USW00012839,3.7,25.8,-80.3,19940926,88,75
GHCND:USW00012839,3.7,25.8,-80.3,19940927,85,77
GHCND:USW00012839,3.7,25.8,-80.3,19940928,82,73
GHCND:USW00012839,3.7,25.8,-80.3,19940929,81,74
GHCND:USW00012839,3.7,25.8,-80.3,19940930,81,75
GHCND:USW00012839,3.7,25.8,-80.3,19941001,86,72
GHCND:USW00012839,3.7,25.8,-80.3,19941002,89,75
GHCND:USW00012839,3.7,25.8,-80.3,19941003,90,78
GHCND:USW00012839,3.7,25.8,-80.3,19941004,87,77
GHCND:USW00012839,3.7,25.8,-80.3,19941005,88,75
GHCND:USW00012839,3.7,25.8,-80.3,19941006,89,75
GHCND:USW00012839,3.7,25.8,-80.3,19941007,89,75
GHCND:USW00012839,3.7,25.8,-80.3,19941008,87,76
GHCND:USW00012839,3.7,25.8,-80.3,19941009,90,75
GHCND:USW00012839,3.7,25.8,-80.3,19941010,88,74
GHCND:USW00012839,3.7,25.8,-80.3,19941011,88,75
GHCND:USW00012839,3.7,25.8,-80.3,19941012,87,75
GHCND:USW00012839,3.7,25.8,-80.3,19941013,89,73
GHCND:USW00012839,3.7,25.8,-80.3,19941014,90,73
GHCND:USW00012839,3.7,25.8,-80.3,19941015,85,72
GHCND:USW00012839,3.7,25.8,-80.3,19941016,84,71
GHCND:USW00012839,3.7,25.8,-80.3,19941017,83,74
GHCND:USW00012839,3.7,25.8,-80.3,19941018,84,75
GHCND:USW00012839,3.7,25.8,-80.3,19941019,84,73
GHCND:USW00012839,3.7,25.8,-80.3,19941020,85,71
GHCND:USW00012839,3.7,25.8,-80.3,19941021,86,73
